date,000300.SH,000905.SH,000906.SH
20130401,-0.076,0.6868,0.1049
20130402,-0.2726,-1.2233,-0.4994
20130403,-0.1144,-0.912,-0.3033
20130408,-0.4529,0.4091,-0.25
20130409,0.6929,0.9745,0.7596
20130410,-0.1655,-0.2062,-0.1752
20130411,-0.2991,-0.4088,-0.3251
20130412,-0.6362,-0.8384,-0.6841
20130415,-1.0273,-1.4042,-1.1166
20130416,0.9346,1.0825,0.9695
20130417,-0.0455,0.8671,0.1702
20130418,0.2594,0.3105,0.2716
20130419,2.7984,2.1101,2.6345
20130422,-0.1246,0.4687,0.016
20130423,-3.2086,-2.7103,-3.09
20130424,1.8824,1.9939,1.909
20130425,-1.1101,-1.5258,-1.2095
20130426,-0.8335,-1.8545,-1.0762
20130502,0.0953,0.4642,0.1823
20130503,1.7665,1.9283,1.8048
20130506,1.3266,1.9085,1.4644
20130507,0.1566,0.1997,0.1668
20130508,0.5083,0.9192,0.6061
20130509,-0.5901,0.0541,-0.4363
20130510,0.5159,0.6063,0.5376
20130513,-0.3962,0.3754,-0.2111
20130514,-1.479,-1.1545,-1.4007
20130515,0.5449,1.3468,0.7389
20130516,1.8263,1.0744,1.6433
20130517,1.5411,1.5305,1.5385
20130520,0.6774,1.2556,0.8173
20130521,0.201,1.3193,0.4728
20130522,0.1217,-0.8235,-0.11
20130523,-1.3439,-0.8425,-1.2219
20130524,0.5567,1.5531,0.8003
20130527,0.0908,1.0142,0.3182
20130528,1.7223,0.1925,1.3429
20130529,-0.068,0.7455,0.1314
20130530,-0.3117,0.2286,-0.1785
20130531,-1.059,-0.6188,-0.9499
20130603,-0.1459,-0.6953,-0.2824
20130604,-1.42,-1.9606,-1.5538
20130605,-0.1998,0.4124,-0.0489
20130606,-1.2768,-1.7686,-1.3986
20130607,-1.7282,-1.9661,-1.7869
20130613,-3.3904,-2.7974,-3.2444
20130614,0.7014,1.9894,1.0202
20130617,-0.5351,0.2341,-0.3428
20130618,0.6201,0.3447,0.5509
20130619,-0.7434,-0.6229,-0.7131
20130620,-3.3031,-3.3013,-3.3026
20130621,-0.1754,-0.5345,-0.2656
20130624,-6.3081,-6.1953,-6.2799
20130625,-0.2666,-0.4277,-0.307
20130626,0.1328,2.0715,0.6182
20130627,-0.3488,-1.6007,-0.6667
20130628,1.8468,0.0852,1.4036
20130701,0.5761,2.1203,0.9567
20130702,0.3916,1.6481,0.7049
20130703,-0.8171,0.1528,-0.5731
20130704,0.8236,0.7819,0.813
20130705,0.2192,-0.5592,0.022
20130708,-2.8394,-3.887,-3.1033
20130709,-0.0439,0.5997,0.1169
20130710,2.8389,3.1131,2.9077
20130711,4.6142,2.811,4.1607
20130712,-2.2055,-0.8898,-1.8789
20130715,1.403,1.9943,1.5513
20130716,0.4573,1.2272,0.6512
20130717,-1.5105,-1.4489,-1.4949
20130718,-1.643,-0.1111,-1.2548
20130719,-2.4429,-2.4961,-2.4565
20130722,0.5346,1.9732,0.9033
20130723,2.8906,2.4177,2.7681
20130724,-0.7368,0.6013,-0.3914
20130725,-0.5099,-1.9079,-0.8743
20130726,-0.6111,-0.1167,-0.4836
20130729,-2.16,-1.9337,-2.1014
20130730,0.6166,-0.4487,0.3404
20130731,0.1659,0.5723,0.2705
20130801,2.3868,2.6353,2.451
20130802,0.0846,0.3538,0.1542
20130805,1.3824,1.6677,1.4563
20130806,0.6721,1.0741,0.7765
20130807,-0.5676,-0.9585,-0.6694
20130808,-0.1684,0.265,-0.0558
20130809,0.4053,0.3576,0.3928
20130812,2.9214,1.5876,2.5741
20130813,0.2667,0.5265,0.3337
20130814,-0.4234,-0.3916,-0.4151
20130815,-1.1708,-1.3518,-1.2176
20130816,-0.7509,-2.1197,-1.1042
20130819,1.1842,1.5384,1.2747
20130820,-0.8134,-0.2602,-0.6718
20130821,-0.1676,0.7741,0.0745
20130822,-0.2017,0.2472,-0.0855
20130823,-0.738,-0.2337,-0.607
20130826,2.1289,2.0844,2.1173
20130827,0.2254,0.7697,0.3673
20130828,-0.5479,-0.755,-0.6021
20130829,-0.4186,-0.0766,-0.3292
20130830,-0.1898,-0.998,-0.4016
20130902,0.2781,0.7044,0.3891
20130903,1.4721,1.4881,1.4763
20130904,-0.1615,0.2769,-0.047
20130905,-0.3813,0.1952,-0.2307
20130906,0.6853,0.8043,0.7165
20130909,3.5129,1.0308,2.8608
20130910,1.4048,1.0177,1.3049
20130911,0.323,-0.9472,-0.0038
20130912,0.9894,0.2819,0.8091
20130913,-0.7399,0.1236,-0.521
20130916,-0.4224,0.114,-0.2854
20130917,-2.0605,-1.7621,-1.9841
20130918,0.2137,0.9463,0.4018
20130923,1.6353,2.0277,1.7366
20130924,-1.1489,0.0998,-0.8256
20130925,-0.6078,-0.3663,-0.5447
20130926,-1.8356,-2.0828,-1.9003
20130927,0.4415,0.3819,0.426
20130930,0.5873,1.3115,0.7764
20131008,1.3605,1.6829,1.4451
20131009,0.4821,1.0917,0.6425
20131010,-0.989,-0.5382,-0.8699
20131011,1.6133,1.6993,1.6361
20131014,0.1634,1.0282,0.3928
20131015,-0.2032,0.1417,-0.1111
20131016,-1.8701,-2.7214,-2.098
20131017,-0.3321,-0.1576,-0.2857
20131018,0.5272,0.3456,0.4789
20131021,1.8659,2.478,2.0286
20131022,-1.029,-1.0449,-1.0333
20131023,-1.1202,-2.5406,-1.4995
20131024,-0.7434,-0.6642,-0.7225
20131025,-1.331,-1.9593,-1.4969
20131028,-0.11,-0.3421,-0.171
20131029,0.2578,-2.7527,-0.5318
20131030,1.4931,1.6359,1.5297
20131031,-1.402,-1.3448,-1.3873
20131101,0.4736,-0.3065,0.2733
20131104,-0.1889,0.6953,0.0368
20131105,0.1393,1.3201,0.4427
20131106,-1.2669,-1.0668,-1.2151
20131107,-0.553,-1.3932,-0.7711
20131108,-1.3931,-1.4952,-1.4195
20131111,0.3442,0.438,0.3684
20131112,1.0411,0.9517,1.018
20131113,-2.2173,-1.8686,-2.1274
20131114,0.7161,1.3309,0.875
20131115,2.0062,2.0936,2.0289
20131118,3.3253,2.447,3.0971
20131119,-0.6892,0.3261,-0.427
20131120,0.526,0.9952,0.648
20131121,-0.6129,-0.3397,-0.5415
20131122,-0.499,-0.5861,-0.5218
20131125,-0.3892,-0.0821,-0.3089
20131126,-0.0508,0.1582,0.0039
20131127,1.1337,1.1462,1.1369
20131128,1.0374,0.8461,0.9872
20131129,-0.024,0.6046,0.1407
20131202,-0.8264,-4.4476,-1.7798
20131203,0.9921,2.3626,1.3431
20131204,1.3243,1.8923,1.4713
20131205,-0.2803,-0.1087,-0.2357
20131206,-0.6446,-0.253,-0.5427
20131209,-0.0577,0.738,0.1499
20131210,0.1,0.0705,0.0922
20131211,-1.6532,-1.1063,-1.5097
20131212,-0.1139,0.2606,-0.0152
20131213,-0.1401,0.2163,-0.0459
20131216,-1.6087,-1.7251,-1.6387
20131217,-0.4876,-0.614,-0.5202
20131218,0.0361,0.0005,0.0269
20131219,-1.0528,-1.0178,-1.0437
20131220,-2.3269,-1.2654,-2.0538
20131223,0.2838,-0.1138,0.1807
20131224,0.1596,0.6937,0.2977
20131225,0.7369,1.0547,0.8194
20131226,-1.7256,-1.7152,-1.7229
20131227,1.6838,1.5399,1.6464
20131230,-0.1745,0.3218,-0.0455
20131231,1.3294,0.4221,1.0926
20140102,-0.3454,0.4905,-0.1288
20140103,-1.3436,-0.8203,-1.2072
20140106,-2.2762,-2.7623,-2.4034
20140107,-0.0284,0.6134,0.139
20140108,0.1747,0.1217,0.1608
20140109,-0.8783,-1.1284,-0.9437
20140110,-0.7817,-1.8233,-1.0537
20140113,-0.5067,-0.4579,-0.494
20140114,0.8737,1.9799,1.1604
20140115,-0.1765,0.6681,0.0443
20140116,0.1314,0.1664,0.1406
20140117,-1.5081,-1.1415,-1.4117
20140120,-0.5736,-0.7568,-0.6219
20140121,0.9888,1.5363,1.133
20140122,2.5778,2.6738,2.6032
20140123,-0.5307,0.6961,-0.2059
20140124,0.6178,1.4948,0.852
20140127,-1.3252,-0.0186,-0.9741
20140128,0.1776,-0.2096,0.0725
